"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 27 17:30:53 GMT 2023","Thu Apr 27 17:30:54 GMT 2023","303","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"passed","Thu Apr 27 17:30:18 GMT 2023","Thu Apr 27 17:30:19 GMT 2023","616","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"broken","Thu Apr 27 17:30:52 GMT 2023","Thu Apr 27 17:30:52 GMT 2023","291","tests","test_get_episodes","TestEpisodes","","","test_episodes_by_part_name_of_series",""
"passed","Thu Apr 27 17:30:55 GMT 2023","Thu Apr 27 17:30:56 GMT 2023","613","tests","test_restful_booker_api","TestRestfulBooker","","","test_2_get_booking_ids","Get all booking ids"
"broken","Thu Apr 27 17:30:48 GMT 2023","Thu Apr 27 17:30:48 GMT 2023","304","tests","test_get_characters","TestCharacters","","","test_character_by_category",""
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite","","","test_2",""
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite","","","test_4",""
"broken","Thu Apr 27 17:30:48 GMT 2023","Thu Apr 27 17:30:49 GMT 2023","293","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Thu Apr 27 17:30:17 GMT 2023","Thu Apr 27 17:30:18 GMT 2023","756","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"broken","Thu Apr 27 17:30:54 GMT 2023","Thu Apr 27 17:30:54 GMT 2023","304","tests","test_get_quotes","TestGetQuotes","","","test_get_quote_by_id",""
"passed","Thu Apr 27 17:30:57 GMT 2023","Thu Apr 27 17:30:57 GMT 2023","373","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"skipped","Thu Apr 27 17:30:20 GMT 2023","Thu Apr 27 17:30:20 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"failed","Thu Apr 27 17:30:19 GMT 2023","Thu Apr 27 17:30:20 GMT 2023","536","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
"skipped","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite2","","","test_13",""
"broken","Thu Apr 27 17:30:50 GMT 2023","Thu Apr 27 17:30:50 GMT 2023","319","tests","test_get_characters","TestCharacters","","","test_character_limit_offset",""
